approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
greedyvoronoi,40,36,20,2,10161.8,2713.45,1681.5,1867.8,11.67,68579.0,TraCI requested termination.,12229.414,3.84148,1775.256852,8001,0,0,2460,6,601,329,1524,654
greedyvoronoi,40,36,20,3,9898.13,1932.29,960.41,1139.93,13.48,41150.0,TraCI requested termination.,12140.624,1.6103,1273.429191,8001,0,0,2399,19,563,481,1336,659
greedyvoronoi,40,36,20,4,10086.38,2064.81,1093.61,1267.34,6.53,45179.0,TraCI requested termination.,14823.75,1.59062,1114.463412,8001,0,0,2503,5,664,463,1371,665
greedyvoronoi,40,36,20,5,9969.92,1794.64,810.7,987.13,8.45,43068.0,TraCI requested termination.,13038.021,1.64657,1101.309394,8001,0,0,2340,9,536,450,1345,655
greedyvoronoi,40,49,20,1,9903.39,2000.15,1020.83,1198.6,12.58,45113.0,TraCI requested termination.,17175.621,1.36898,931.738014,8001,0,0,2373,19,655,329,1370,682
greedyvoronoi,40,49,20,2,10780.37,2251.73,1234.7,1415.81,7.24,73091.0,TraCI requested termination.,11599.206,4.43918,1553.218298,8001,0,0,2526,10,769,249,1498,624
greedyvoronoi,40,49,20,3,10113.23,2173.16,1188.98,1368.25,20.27,49640.0,TraCI requested termination.,16144.875,1.73677,1076.964114,8001,0,0,2403,8,702,333,1360,649
greedyvoronoi,40,49,20,4,10027.2,2183.84,1211.0,1385.65,9.02,58131.0,TraCI requested termination.,13223.77,2.76253,1321.328789,8001,0,0,2411,12,574,403,1422,628
greedyvoronoi,40,49,20,5,10224.72,2177.97,1162.63,1342.76,10.34,45533.0,TraCI requested termination.,15805.313,1.51424,1102.536786,8001,0,0,2502,10,664,384,1444,653
greedyvoronoi,40,9,20,1,11106.9,3621.61,2599.93,2806.3,12.03,76139.0,TraCI requested termination.,3356.685,16.2479,8632.484132,8001,0,0,3181,15,1006,242,1918,620
greedyvoronoi,40,9,20,2,11275.55,4633.66,3555.45,3782.09,7.35,96473.0,TraCI requested termination.,5653.994,13.2425,6557.120506,8001,0,0,3027,16,769,154,2088,616
greedyvoronoi,40,9,20,3,11017.24,3771.28,2742.11,2958.51,6.91,86588.0,TraCI requested termination.,4521.76,14.3723,6673.074422,8001,0,0,2664,9,805,435,1415,673
greedyvoronoi,40,9,20,4,11118.51,3221.26,2197.63,2402.85,8.4,76959.0,TraCI requested termination.,3360.478,16.4735,7669.525883,8001,0,0,3039,8,797,218,2016,604
greedyvoronoi,40,9,20,5,10789.17,3770.13,2760.43,2969.34,5.08,74324.0,TraCI requested termination.,4470.771,11.793,6747.123035,8001,0,0,3069,13,774,208,2074,614
greedyvoronoi,40,16,25,1,10898.57,3880.3,2792.16,3007.42,12.02,82810.0,TraCI requested termination.,6679.591,9.16373,4647.934731,8001,0,0,3436,11,836,344,2245,683
greedyvoronoi,40,16,25,2,10670.61,4349.57,3266.54,3483.78,13.55,85264.0,TraCI requested termination.,7337.547,8.67647,4742.853845,8001,0,0,3273,8,692,409,2164,594
greedyvoronoi,40,16,25,3,10872.45,3156.53,2082.12,2278.62,11.31,70822.0,TraCI requested termination.,8144.087,6.04389,3101.073208,8001,0,0,3391,13,679,492,2207,646
greedyvoronoi,40,16,25,4,10755.4,4283.67,3192.97,3403.28,34.19,77035.0,TraCI requested termination.,9181.682,6.03756,3732.830542,8001,0,0,3324,19,832,728,1745,566
greedyvoronoi,40,16,25,5,10975.09,3612.41,2538.92,2741.93,20.86,79560.0,TraCI requested termination.,7512.652,7.71499,3847.233041,8001,0,0,3687,13,1272,430,1972,637
greedyvoronoi,40,25,25,1,10778.54,2567.94,1529.27,1718.47,12.77,49633.0,TraCI requested termination.,12548.32,2.234,1637.358228,8001,0,0,3274,8,1050,472,1744,655
greedyvoronoi,40,25,25,2,10358.73,2727.01,1690.73,1876.13,21.36,56239.0,TraCI requested termination.,10761.826,3.21869,2027.425179,8001,0,0,3439,3,834,801,1801,602
greedyvoronoi,40,25,25,3,10191.04,2809.31,1786.67,1976.72,21.01,50998.0,TraCI requested termination.,9861.334,2.98114,2279.33665,8001,0,0,3388,10,1231,473,1674,615
greedyvoronoi,40,25,25,4,10481.71,3457.1,2392.8,2597.7,15.29,54947.0,TraCI requested termination.,9211.923,3.61998,3002.658837,8001,0,0,3555,12,997,305,2241,634
greedyvoronoi,40,25,25,5,11183.22,2806.39,1751.97,1941.2,7.53,62270.0,TraCI requested termination.,11887.056,3.42137,1888.939616,8001,0,0,3275,9,1076,385,1805,608
greedyvoronoi,40,36,25,1,10668.75,2983.0,1935.75,2127.41,12.94,57914.0,TraCI requested termination.,15536.457,2.33734,1536.19284,8001,0,0,3395,10,826,487,2072,618
greedyvoronoi,40,36,25,2,10556.57,2832.36,1776.72,1971.4,19.32,58262.0,TraCI requested termination.,14817.273,2.47427,1529.411519,8001,0,0,3070,7,769,403,1891,2824
greedyvoronoi,40,36,25,3,10193.86,2341.41,1332.07,1515.03,17.43,44860.0,TraCI requested termination.,14800.078,1.57161,1265.776572,8001,0,0,3044,19,779,591,1655,647
greedyvoronoi,40,36,25,4,10360.43,2422.64,1401.26,1583.93,5.92,48149.0,TraCI requested termination.,17996.528,1.47523,1077.072478,8001,0,0,3200,14,725,532,1929,639
greedyvoronoi,40,36,25,5,10185.25,2176.84,1145.82,1326.68,15.28,41729.0,TraCI requested termination.,17275.766,1.16516,1008.170984,8001,0,0,3065,8,733,590,1734,672
greedyvoronoi,40,49,25,1,10276.8,2521.46,1466.66,1653.17,23.01,57403.0,TraCI requested termination.,21479.278,1.66686,939.239624,8001,0,0,3010,5,847,434,1724,692
greedyvoronoi,40,49,25,2,11324.66,2965.07,1888.67,2085.56,16.04,77434.0,TraCI requested termination.,14497.419,3.85131,1636.393899,8001,0,0,3124,13,1042,305,1764,702
greedyvoronoi,40,49,25,3,10478.21,2341.55,1318.13,1503.55,18.93,50327.0,TraCI requested termination.,18658.605,1.53961,1004.08187,8001,0,0,3234,7,1013,414,1800,657
greedyvoronoi,40,49,25,4,10258.94,2595.75,1572.49,1755.62,10.69,58551.0,TraCI requested termination.,16322.09,2.26386,1272.422159,8001,0,0,3098,7,752,522,1817,610
greedyvoronoi,40,49,25,5,10585.04,2498.28,1431.17,1619.02,17.51,54530.0,TraCI requested termination.,19883.499,1.65615,1005.292328,8001,0,0,3141,6,813,520,1802,624
greedyvoronoi,40,9,25,1,11716.05,3785.67,2710.96,2932.46,24.36,83488.0,TraCI requested termination.,4069.754,15.2068,7442.49849,8001,0,0,3941,3,1245,338,2355,578
greedyvoronoi,40,9,25,2,11848.68,5148.12,3992.59,4234.84,9.06,85329.0,TraCI requested termination.,7256.117,8.7828,5676.609818,8001,0,0,3851,17,957,215,2662,585
greedyvoronoi,40,9,25,3,11561.69,4828.27,3714.89,3968.31,8.39,93248.0,TraCI requested termination.,5452.611,13.1401,7084.86283,8001,0,0,3271,10,911,495,1855,655
greedyvoronoi,40,9,25,4,11622.99,3702.11,2636.73,2865.86,6.69,69370.0,TraCI requested termination.,4325.185,11.0446,6848.398392,8001,0,0,3958,6,1030,266,2656,611
greedyvoronoi,40,9,25,5,11192.16,5298.93,4197.41,4440.17,5.83,87142.0,TraCI requested termination.,5879.149,11.1482,7211.380082,8001,0,0,3901,10,1174,149,2568,674
greedyvoronoi,40,16,30,1,11294.66,4416.55,3298.44,3525.34,16.41,88543.0,TraCI requested termination.,8060.975,8.30458,4383.69428,8001,0,0,4386,5,1178,416,2787,619
greedyvoronoi,40,16,30,2,11000.01,5879.65,4722.35,4968.78,13.9,96767.0,TraCI requested termination.,9150.869,8.21419,5140.83504,8001,0,0,4102,2,853,587,2660,582
